,property.type,property.bedroomCount,property.location.postalCode,extractDate,count_id,sum_value
288,HOUSE,8.0,1060,2023-12-05 15:55:52.855004,8,7669000.0
289,HOUSE,8.0,1070,2023-12-05 15:55:52.855004,4,2844999.0
290,HOUSE,8.0,1080,2023-12-05 15:55:52.855004,4,2238000.0
291,HOUSE,8.0,1140,2023-12-05 15:55:52.855004,1,900000.0
292,HOUSE,8.0,1150,2023-12-05 15:55:52.855004,2,2310000.0
293,HOUSE,8.0,1160,2023-12-05 15:55:52.855004,1,1195000.0
294,HOUSE,8.0,1180,2023-12-05 15:55:52.855004,6,8969000.0
295,HOUSE,8.0,1190,2023-12-05 15:55:52.855004,2,1739000.0
296,HOUSE,8.0,1200,2023-12-05 15:55:52.855004,1,1360000.0
297,HOUSE,8.0,1210,2023-12-05 15:55:52.855004,2,1795000.0
298,HOUSE,9.0,1000,2023-12-05 15:55:52.855004,4,2779000.0
299,HOUSE,9.0,1020,2023-12-05 15:55:52.855004,2,1560000.0
300,HOUSE,9.0,1030,2023-12-05 15:55:52.855004,3,3295000.0
301,HOUSE,9.0,1040,2023-12-05 15:55:52.855004,3,3895000.0
302,HOUSE,9.0,1050,2023-12-05 15:55:52.855004,2,1475000.0
303,HOUSE,9.0,1060,2023-12-05 15:55:52.855004,1,1299000.0
304,HOUSE,9.0,1070,2023-12-05 15:55:52.855004,2,2895000.0
305,HOUSE,9.0,1080,2023-12-05 15:55:52.855004,3,1997000.0
306,HOUSE,9.0,1120,2023-12-05 15:55:52.855004,1,1250000.0
307,HOUSE,9.0,1180,2023-12-05 15:55:52.855004,1,4050000.0
308,HOUSE,9.0,1190,2023-12-05 15:55:52.855004,2,7400000.0
309,HOUSE,9.0,1200,2023-12-05 15:55:52.855004,2,2500000.0
310,HOUSE,10.0,1000,2023-12-05 15:55:52.855004,11,20079000.0
311,HOUSE,10.0,1020,2023-12-05 15:55:52.855004,1,770000.0
312,HOUSE,10.0,1030,2023-12-05 15:55:52.855004,4,2998000.0
313,HOUSE,10.0,1040,2023-12-05 15:55:52.855004,1,1355000.0
314,HOUSE,10.0,1050,2023-12-05 15:55:52.855004,4,21850000.0
315,HOUSE,10.0,1060,2023-12-05 15:55:52.855004,3,8289000.0
316,HOUSE,10.0,1070,2023-12-05 15:55:52.855004,2,1990000.0
317,HOUSE,10.0,1080,2023-12-05 15:55:52.855004,4,3087000.0
318,HOUSE,10.0,1150,2023-12-05 15:55:52.855004,2,5485000.0
319,HOUSE,10.0,1200,2023-12-05 15:55:52.855004,1,2850000.0
320,HOUSE,11.0,1000,2023-12-05 15:55:52.855004,1,2400000.0
321,HOUSE,11.0,1030,2023-12-05 15:55:52.855004,1,650000.0
322,HOUSE,11.0,1060,2023-12-05 15:55:52.855004,4,4700000.0
323,HOUSE,11.0,1080,2023-12-05 15:55:52.855004,2,2690000.0
324,HOUSE,11.0,1150,2023-12-05 15:55:52.855004,2,5000000.0
325,HOUSE,11.0,1200,2023-12-05 15:55:52.855004,1,825000.0
326,HOUSE,11.0,1210,2023-12-05 15:55:52.855004,1,2400000.0
327,HOUSE,12.0,1000,2023-12-05 15:55:52.855004,2,3494000.0
328,HOUSE,12.0,1020,2023-12-05 15:55:52.855004,1,1100000.0
329,HOUSE,12.0,1050,2023-12-05 15:55:52.855004,1,2950000.0
330,HOUSE,12.0,1080,2023-12-05 15:55:52.855004,1,4800000.0
331,HOUSE,12.0,1081,2023-12-05 15:55:52.855004,2,2049000.0
332,HOUSE,12.0,1090,2023-12-05 15:55:52.855004,1,2195000.0
333,HOUSE,12.0,1120,2023-12-05 15:55:52.855004,1,1350000.0
334,HOUSE,12.0,1190,2023-12-05 15:55:52.855004,1,1100000.0
335,HOUSE,13.0,1030,2023-12-05 15:55:52.855004,1,999000.0
336,HOUSE,13.0,1050,2023-12-05 15:55:52.855004,2,10000000.0
337,HOUSE,13.0,1070,2023-12-05 15:55:52.855004,1,849000.0
338,HOUSE,13.0,1090,2023-12-05 15:55:52.855004,2,3530000.0
339,HOUSE,13.0,1170,2023-12-05 15:55:52.855004,1,3000000.0
340,HOUSE,13.0,1210,2023-12-05 15:55:52.855004,1,1400000.0
341,HOUSE,14.0,1000,2023-12-05 15:55:52.855004,1,3250000.0
342,HOUSE,14.0,1020,2023-12-05 15:55:52.855004,2,2635000.0
343,HOUSE,14.0,1080,2023-12-05 15:55:52.855004,1,1995000.0
344,HOUSE,15.0,1000,2023-12-05 15:55:52.855004,1,2200000.0
345,HOUSE,18.0,1070,2023-12-05 15:55:52.855004,1,3800000.0
346,HOUSE,18.0,1080,2023-12-05 15:55:52.855004,2,7690000.0
347,HOUSE,19.0,1000,2023-12-05 15:55:52.855004,1,1290000.0
348,HOUSE,19.0,1190,2023-12-05 15:55:52.855004,1,1365000.0
349,HOUSE,20.0,1150,2023-12-05 15:55:52.855004,1,3000000.0
350,HOUSE,22.0,1000,2023-12-05 15:55:52.855004,1,4200000.0
351,HOUSE,22.0,1050,2023-12-05 15:55:52.855004,1,4990000.0
